ACS Code,Area of Operations,Task,Type,Description
PH.VII.C.K2,VII. Navigation,Task C. Diversion,Knowledge,Situations that require deviations from flight plan or air traffic control (ATC) instructions.
PH.VII.C.R1,VII. Navigation,Task C. Diversion,Risk Management,Collision hazards.
PH.VII.C.R2,VII. Navigation,Task C. Diversion,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VII.C.R3,VII. Navigation,Task C. Diversion,Risk Management,Circumstances that would make diversion prudent.
PH.VII.C.R4,VII. Navigation,Task C. Diversion,Risk Management,"Selecting an airport/heliport/helipad, as applicable."
PH.VII.C.R5,VII. Navigation,Task C. Diversion,Risk Management,"Using available resources (e.g., automation, ATC, and flight deck planning aids)."
PH.VII.C.S1,VII. Navigation,Task C. Diversion,Skills,"Select a suitable airport/heliport/helipad, as applicable, and route for diversion."
PH.VII.C.S2,VII. Navigation,Task C. Diversion,Skills,"Make a reasonable estimate of heading, groundspeed, arrival time, and fuel required to the ‚Äúdivert to‚Äù destination."
PH.VII.C.S3,VII. Navigation,Task C. Diversion,Skills,Promptly divert toward the airport/heliport/helipad.
PH.VII.C.S4,VII. Navigation,Task C. Diversion,Skills,"Maintain the selected altitude, ±200 feet and headings, ±15°."
PH.VII.C.S5,VII. Navigation,Task C. Diversion,Skills,Update/interpret weather in flight.
PH.VII.C.S6,VII. Navigation,Task C. Diversion,Skills,"Use displays of digital weather and aeronautical information, as applicable to maintain situational awareness."
PH.VII.D.K1,VII. Navigation,Task D. Lost Procedures,Knowledge,Methods to determine position.
PH.VII.D.K2,VII. Navigation,Task D. Lost Procedures,Knowledge,"Assistance available if lost (e.g., radar services, communication procedures)."
PH.VII.D.K3,VII. Navigation,Task D. Lost Procedures,Knowledge,Rapidly deteriorating weather or impending fuel exhaustion.
PH.VII.D.R1,VII. Navigation,Task D. Lost Procedures,Risk Management,Collision hazards.
PH.VII.D.R2,VII. Navigation,Task D. Lost Procedures,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VII.D.R3,VII. Navigation,Task D. Lost Procedures,Risk Management,Recording times over waypoints.
PH.VII.D.R4,VII. Navigation,Task D. Lost Procedures,Risk Management,When to seek assistance or declare an emergency in a deteriorating situation.
PH.VII.D.S1,VII. Navigation,Task D. Lost Procedures,Skills,Select an appropriate course of action.
PH.VII.D.S2,VII. Navigation,Task D. Lost Procedures,Skills,Use an appropriate method to determine position.
PH.VII.D.S3,VII. Navigation,Task D. Lost Procedures,Skills,Maintain an appropriate heading and climb as necessary.
PH.VII.D.S4,VII. Navigation,Task D. Lost Procedures,Skills,Identify prominent landmarks.
PH.VII.D.S5,VII. Navigation,Task D. Lost Procedures,Skills,Use navigation systems/facilities or contact an ATC facility for assistance.
PH.VIII.A.K1,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Knowledge,"Elements related to powerplant failure in a hover, including energy management concepts."
PH.VIII.A.K2,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.VIII.A.K3,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Knowledge,High and low inertia of rotor systems.
PH.VIII.A.K4,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Knowledge,Aerodynamics associated with powerplant failure in a hover.
PH.VIII.A.K5,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Knowledge,"Proper orientation, division of attention, and proper planning."
PH.VIII.A.R1,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Risk Management,Powerplant failure in a hover.
PH.VIII.A.R2,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Risk Management,Flight control inputs.
PH.VIII.A.R3,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Risk Management,Helicopter movement.
PH.VIII.A.R4,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Risk Management,Dynamic rollover.
PH.VIII.A.R5,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VIII.A.S1,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Complete the appropriate checklist(s).
PH.VIII.A.S2,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Make radio calls as appropriate.
PH.VIII.A.S3,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Clear the area.
PH.VIII.A.S4,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Select a suitable landing area.
PH.VIII.A.S5,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Establish a stationary or forward hover into the wind.
PH.VIII.A.S6,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Simulate powerplant failure.
PH.VIII.A.S7,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,"Maintain a heading, ±10°, throughout the maneuver."
PH.VIII.A.S8,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Touchdown with minimum sideward movement and no rearward movement.
PH.VIII.A.S9,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,Use appropriate flight control inputs to cushion the touchdown.
PH.VIII.A.S10,VIII. Emergency Operations,Task A. Powerplant Failure in a Hover in a Single-Engine Helicopter,Skills,"After touchdown, lower collective and neutralize flight controls."
PH.VIII.B.K1,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,Elements of a powerplant failure at altitude.
PH.VIII.B.K2,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.VIII.B.K3,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,Main rotor (Nr) speed.
PH.VIII.B.K4,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,Energy management.
PH.VIII.B.K5,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,Causes and effects of high descent rates.
PH.VIII.B.K6,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Knowledge,"Effect of varying bank angles, airspeeds, and rotor rpm."
PH.VIII.B.R1,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Low entry altitudes.
PH.VIII.B.R2,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Selection of landing area.
PH.VIII.B.R3,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Flight control inputs.
PH.VIII.B.R4,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,"Turbulence, including wake turbulence."
PH.VIII.B.R5,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Low rotor rpm or rotor stall.
PH.VIII.B.R6,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Windshear.
PH.VIII.B.R7,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Powerplant failure during the maneuver.
PH.VIII.B.R8,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Collision hazards.
PH.VIII.B.R9,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Autorotation power-off never-exceed speed (V ) limitation. NE
PH.VIII.B.R10,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,Helicopter trim.
PH.VIII.B.R11,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VIII.B.S1,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,Establish an autorotation.
PH.VIII.B.S2,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,"Establish power-off glide with the helicopter trimmed and autorotation airspeed, ±10 knots."
PH.VIII.B.S3,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,Maintain main rotor (Nr) within normal limits.
PH.VIII.B.S4,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,"Select a suitable landing area considering altitude, wind, terrain, and obstructions."
PH.VIII.B.S5,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,Maneuver to avoid undershooting or overshooting the selected landing area.
PH.VIII.B.S6,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,Make radio calls as appropriate.
PH.VIII.B.S7,VIII. Emergency Operations,Task B. Powerplant Failure at Altitude in a Single-Engine Helicopter,Skills,Terminate approach with a power recovery at a safe altitude as directed by the evaluator.
PH.VIII.C.K1,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Knowledge,Elements of approach and landing with one engine inoperative.
PH.VIII.C.K2,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Knowledge,Effects of atmospheric conditions on emergency approach and landing.
PH.VIII.C.K3,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Knowledge,Stabilized approach.
PH.VIII.C.K4,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Knowledge,Approach and landing profiles and aircraft configuration.
PH.VIII.C.R1,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Risk Management,"Consideration of altitude, wind, terrain, obstructions, and available landing area."
PH.VIII.C.R2,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Risk Management,Planning and following a flightpath to the selected landing area.
PH.VIII.C.R3,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Risk Management,Collision hazards.
PH.VIII.C.R4,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VIII.C.S1,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,Maintain the operating powerplant within OEI limits.
PH.VIII.C.S2,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,"Maintain, prior to beginning the final approach segment, the recommended flight profile with altitude ±200 feet, airspeed, ±20 knots, heading ±10°, and maintain track."
PH.VIII.C.S3,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,Make radio calls as appropriate.
PH.VIII.C.S4,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,"Plan and follow a flightpath to the selected landing area considering altitude, wind, terrain, and obstructions."
PH.VIII.C.S5,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,Complete the appropriate checklist(s).
PH.VIII.C.S6,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,Maintain directional control and appropriate crosswind correction throughout the approach and landing.
PH.VIII.C.S7,VIII. Emergency Operations,Task C. Approach and Landing with One Engine Inoperative (OEI) (Simulated) (Multiengine Helicopter,Skills,"Use single-pilot resource management (SRM) or crew resource management (CRM), as appropriate."
PH.VIII.D.K1,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,Causes of partial or complete power loss related to the specific type of powerplant(s).
PH.VIII.D.K2,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,"System and equipment malfunctions specific to the helicopter, including:"
PH.VIII.D.K2a,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,a. Electrical malfunction
PH.VIII.D.K2b,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,b. Flight instrument malfunctions
PH.VIII.D.K2c,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,c. Pitot-static system malfunction
PH.VIII.D.K2d,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,d. Electronic flight deck display malfunction
PH.VIII.D.K2e,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,e. Landing gear malfunctions
PH.VIII.D.K2f,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,f. Inoperative flight control/trim
PH.VIII.D.K2g,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,"g. Hydraulic failure, if applicable"
PH.VIII.D.K3,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,Various frequency vibrations and the possible components that may be affected.
PH.VIII.D.K4,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,Causes and remedies for smoke or fire onboard the aircraft.
PH.VIII.D.K5,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Knowledge,Any other system malfunction specific to the helicopter flown.
PH.VIII.D.R1,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Risk Management,Startle response.
PH.VIII.D.R2,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Risk Management,Checklist usage for a system or equipment malfunction.
PH.VIII.D.R3,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VIII.D.R4,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Risk Management,Undesired aircraft state.
PH.VIII.D.S1,VIII. Emergency Operations,Task D. Systems and Equipment Malfunctions,Skills,"Determine appropriate action for simulated emergencies specified by the evaluator, from at least three of the elements or sub-elements listed in K1 through K5."
